provider_num,rpt_rec_num,fy_begin,fy_end,total_revenue,medicare_revenue,medicaid_revenue,other_revenue,medicare_pct,medicaid_pct,other_pct,medicare_days,medicaid_days,other_days,total_days,data_quality
251325,758123,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
370106,758161,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
454121,758193,08/01/2021,07/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
490140,758199,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
510048,758204,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
510070,758205,06/01/2021,05/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
031300,758413,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050047,758430,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050696,758443,01/01/2021,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050717,758444,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050782,758445,04/01/2021,03/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
100179,758455,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
110001,758458,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
110034,758461,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
160124,758472,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
170074,758473,05/01/2021,04/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
330125,758523,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
370034,758536,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
510050,758602,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
054151,758630,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
060028,758631,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
160005,758650,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
160032,758651,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
201303,758663,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
232029,758674,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
310069,758696,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
370028,758711,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
390042,758716,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
450675,758754,06/01/2021,05/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
450869,758758,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
040055,758776,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050040,758781,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050133,758786,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050192,758787,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050238,758790,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050292,758794,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050301,758796,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050327,758797,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050737,758806,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050738,758808,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
050770,758812,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
070010,758828,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
100032,758835,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
130071,758855,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
140001,758856,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
150084,758882,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
220070,758910,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
220071,758911,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
220110,758913,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
220116,758914,10/01/2020,09/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
230019,758919,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
230092,758925,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
230117,758927,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
231325,758932,07/01/2021,06/30/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
240059,758939,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
262015,758955,01/01/2021,12/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
270003,758957,06/01/2021,05/31/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,unknown
